Lista de participantes ativos do Pix
 ;Nome Reduzido;ISPB;CNPJ;Tipo de Instituição;Autorizada pelo BCB;Tipo de Participação no SPI;Tipo de Participação no Pix;Modalidade de Participação no Pix;Iniciação de Transação de Pagamento;Facilitador de serviço de Saque e Troco (FSS)
506;COOP CRESOL VANGUARDA;03965737;03.965.737/0001-37;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
507;COOP CRESOL XANXERE;07509426;07.509.426/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
508;COOP DE AGRICULTORES E AEROPORTUÁRIOS DO BRASIL;01330387;01.330.387/0001-07;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
509;COOP DE CRED E INVEST LIBERDADE - SICREDI LIBERDADE;88530142;88.530.142/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
510;COOP DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.;01205736;01.205.736/0001-69;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
511;COOP DO ESTADO DE GOIÁS;04406371;04.406.371/0001-29;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
512;COOP DO ESTADO DO ACRE LTDA.;01608685;01.608.685/0001-16;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
513;COOP EVOLUA;10311218;10.311.218/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
514;COOP FRONTEIRAS;03612764;03.612.764/0001-26;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
515;COOP INVEST INT SOL VALE DAS ÁGUAS PR/MG;04663561;04.663.561/0001-21;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
516;COOP JUST GOIAS E CELG;09552111;09.552.111/0001-85;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
517;COOP LIVRE ADMISSÃO DE ASSOCIADOS SICOOB CRUZ ALTA LTDA;73326449;73.326.449/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
518;COOP NOVOS CAMPOS;78862083;78.862.083/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
519;COOP POL FED - SICREDI POL;03000142;03.000.142/0001-47;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
520;COOP SICOOB BRMIL LTDA.;04649337;04.649.337/0001-85;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
521;COOP SICOOB BURITIS;05247312;05.247.312/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
522;COOP SICOOB CERRADO;05222094;05.222.094/0001-67;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
523;COOP SICOOB CONFIANÇA;07097064;07.097.064/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
524;COOP SICOOB COOPEREMB;46642294;46.642.294/0001-56;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
525;COOP SICOOB COOPERPLAN CREDSEF;03603683;03.603.683/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
526;COOP SICOOB CREDIAUC;78840071;78.840.071/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
527;COOP SICOOB CREDIJUSTRA;37079720;37.079.720/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
528;COOP SICOOB CREDIMOGIANA;69346856;69.346.856/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
529;COOP SICOOB CREDIP;02015588;02.015.588/0001-82;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
530;COOP SICOOB CREDUNI;03428338;03.428.338/0001-37;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
531;COOP SICOOB EXECUTIVO LTDA.;00694877;00.694.877/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
532;COOP SICOOB MANTIQUEIRA;71698674;71.698.674/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
533;COOP SICOOB PRIMAVERA;05241619;05.241.619/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
534;COOP SICOOB PRO;44469161;44.469.161/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
535;COOP SICOOB UNI SUDESTE;86389236;86.389.236/0001-87;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
536;COOP SICOOB UNI SUL MS;37554441;37.554.441/0001-45;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
537;COOP SICREDI AGROEMPRESARIAL;79457883;79.457.883/0001-13;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
538;COOP SICREDI AJURIS;03750034;03.750.034/0001-91;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
539;COOP SICREDI ALIANÇA;87795639;87.795.639/0001-99;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
540;COOP SICREDI ALIANÇA;79052122;79.052.122/0001-81;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
541;COOP SICREDI ALT SERRA RS/SC;92555150;92.555.150/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
542;COOP SICREDI ALTA NOROESTE SP;04484490;04.484.490/0001-08;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
543;COOP SICREDI ALTSERTÃO PARAIBANO;09343038;09.343.038/0001-31;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
544;COOP SICREDI ARAXINGU;33021064;33.021.064/0001-28;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
545;COOP SICREDI BANDEIRANTES;04853988;04.853.988/0001-92;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
546;COOP SICREDI BIOMAS;33022690;33.022.690/0001-39;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
547;COOP SICREDI BOTUCARAÍ RS/MG;87900601;87.900.601/0001-39;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
548;COOP SICREDI CAMINHO DAS ÁGUAS RS;95213211;95.213.211/0001-19;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
549;COOP SICREDI CAMPO GRANDE MS/GO;03042597;03.042.597/0001-25;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
550;COOP SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;81.466.286/0001-05;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
551;COOP SICREDI CELEIRO DO MT;26555235;26.555.235/0001-33;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
552;COOP SICREDI CELEIRO OESTE;03566655;03.566.655/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
553;COOP SICREDI CEN OEST PAULISTA;04463602;04.463.602/0001-36;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
554;COOP SICREDI CENT SUL PR/SC/RJ;78907607;78.907.607/0001-47;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
555;COOP SICREDI CENTRO PERNAMBUCANA;41255225;41.255.225/0001-76;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
556;COOP SICREDI CENTRO SERRA;87067757;87.067.757/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
557;COOP SICREDI CENTRO-SUL MS/BA;26408161;26.408.161/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
558;COOP SICREDI CERRADO GO;06332931;06.332.931/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
559;COOP SICREDI CONFIANÇA;89049738;89.049.738/0001-57;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
560;COOP SICREDI COOABCRED RS;19962468;19.962.468/0001-95;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
561;COOP SICREDI COOPERJURIS;08041950;08.041.950/0001-76;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
562;COOP SICREDI CREDENOREG;06078926;06.078.926/0001-86;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
563;COOP SICREDI CREDJURIS;04886317;04.886.317/0001-28;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
564;COOP SICREDI CULTURAS RS/MG;90729369;90.729.369/0001-22;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
565;COOP SICREDI DEXIS;79342069;79.342.069/0001-53;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
566;COOP SICREDI EDUCAÇÃO RS;04525997;04.525.997/0001-54;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
567;COOP SICREDI EMPREENDEDORES;07070495;07.070.495/0001-74;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
568;COOP SICREDI ESSÊNCIA;87733077;87.733.077/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
569;COOP SICREDI EVOLUÇÃO;35571249;35.571.249/0001-31;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
570;COOP SICREDI EXPANSÃO;41180092;41.180.092/0001-16;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
571;COOP SICREDI FORÇA DOS VENTOS;57647653;57.647.653/0001-84;Cooperativa de Crédito;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
572;COOP SICREDI FRONTEIR PR/SC/SP;82527557;82.527.557/0001-40;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
573;COOP SICREDI GERAÇÕES RS/MG;88471024;88.471.024/0001-70;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
574;COOP SICREDI GRANDES LAGOS;81115149;81.115.149/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
575;COOP SICREDI GRANDES RIOS;37442605;37.442.605/0001-42;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
576;COOP SICREDI IBIRAIARAS RS/MG;89990501;89.990.501/0001-76;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
577;COOP SICREDI IGUAÇU PR/SC E REGIÃO METROP. DE CAMPINAS/SP;84974278;84.974.278/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
578;COOP SICREDI INTEGRAÇÃO BAHIA;97489280;97.489.280/0001-85;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
579;COOP SICREDI INTEGRAÇÃO MT/AP/PA;26549311;26.549.311/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
580;COOP SICREDI INTEGRAÇÃO PR/SC;81054686;81.054.686/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
581;COOP SICREDI INTEGRAÇÃO RS/MG;91159764;91.159.764/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
582;COOP SICREDI INTERESTADOS;90497256;90.497.256/0001-49;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
583;COOP SICREDI LENÇÓIS;05545390;05.545.390/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
584;COOP SICREDI MEDICRED;02924977;02.924.977/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
585;COOP SICREDI MORADA DO SOL SP;73113243;73.113.243/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
586;COOP SICREDI MP;03662047;03.662.047/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
587;COOP SICREDI NOROESTE SP;03065046;03.065.046/0001-87;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
588;COOP SICREDI NORTE;83315408;83.315.408/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
589;COOP SICREDI NORTE SC;02843443;02.843.443/0001-70;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
590;COOP SICREDI NORTE SUL;79063574;79.063.574/0001-69;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
591;COOP SICREDI NOSSA TERRA PR/SP;81192106;81.192.106/0001-36;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
592;COOP SICREDI NOVOS HORIZONTES PR/SP/RJ;07206072;07.206.072/0001-39;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
593;COOP SICREDI ORIGENS RS;92796564;92.796.564/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
594;COOP SICREDI OURO BRANCO RS/MG;87853206;87.853.206/0001-42;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
595;COOP SICREDI OURO VERDE MT;26529420;26.529.420/0001-53;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
596;COOP SICREDI PANTANAL;26408187;26.408.187/0001-50;Cooperativa de Crédito;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
597;COOP SICREDI PARANAPANEMA SERRANA PR/SP/RJ;79086997;79.086.997/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
598;COOP SICREDI PIONEIRA RS;91586982;91.586.982/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
599;COOP SICREDI PLAN CENTRAL;10736214;10.736.214/0001-84;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
600;COOP SICREDI PLANALT DAS ÁGUAS;77984870;77.984.870/0001-77;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
601;COOP SICREDI PLANALTO RS/MG;88038260;88.038.260/0001-05;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
602;COOP SICREDI PROGRESSO PR/SP;76059997;76.059.997/0001-17;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
603;COOP SICREDI RAIZES RS/SC/MG;88099247;88.099.247/0001-58;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
604;COOP SICREDI REG CENTRO RS/MG;95594941;95.594.941/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
605;COOP SICREDI REG PROD RS/SC/MG;89468565;89.468.565/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
606;COOP SICREDI REGIÃO DOS VALES;89126130;89.126.130/0001-89;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
607;COOP SICREDI RIO GRANDE DO NORTE;70038237;70.038.237/0001-47;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
608;COOP SICREDI RIO PARANÁ;81206039;81.206.039/0001-61;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
609;COOP SICREDI RIO RJ;72128440;72.128.440/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
610;COOP SICREDI ROTA DAS TERRAS;87510475;87.510.475/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
611;COOP SICREDI SEMENTES DO SUL;87900411;87.900.411/0001-11;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
612;COOP SICREDI SERIGY SE/BA;02923389;02.923.389/0001-72;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
613;COOP SICREDI SERRANA RS;90608712;90.608.712/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
614;COOP SICREDI SOMA;82065285;82.065.285/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
615;COOP SICREDI SUDOESTE MT/PA;32995755;32.995.755/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
616;COOP SICREDI SUL DO MARANHÃO;26191078;26.191.078/0001-24;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
617;COOP SICREDI SUL MINAS RS/MG;87784088;87.784.088/0001-68;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
618;COOP SICREDI SUL SC;03793242;03.793.242/0001-78;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
619;COOP SICREDI TRADIÇÃO RS;03212823;03.212.823/0001-79;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
620;COOP SICREDI UNIÃO MS/TO E OESTE DA BA;24654881;24.654.881/0001-22;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
621;COOP SICREDI UNIÃO RS;88894548;88.894.548/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
622;COOP SICREDI UNIESTADOS;87780268;87.780.268/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
623;COOP SICREDI UNIVALES MT/RO;70431630;70.431.630/0001-04;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
624;COOP SICREDI VALE DO PIQUIRI;81099491;81.099.491/0001-71;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
625;COOP SICREDI VALE DO RIO PARDO;95424891;95.424.891/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
626;COOP SICREDI VALE LITORAL SC;10348181;10.348.181/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Sim
627;COOP SICREDI VALE SÃO FRANCISCO;04237413;04.237.413/0001-45;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
628;COOP SICREDI VANGUARDA PR/SP/RJ;78414067;78.414.067/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
629;COOP SICREDI VEREDAS;72257793;72.257.793/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
630;COOP SICREDI VL DO CERRADO;32983165;32.983.165/0001-17;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
631;COOP SICREDI VL JAGUA ZN MATA;87780284;87.780.284/0001-64;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
632;COOP SICREDI VLR SUSTENT PR/SP;81706616;81.706.616/0001-84;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
633;COOP SUL;05888589;05.888.589/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
634;COOP SULCREDI AMPLEA;08253539;08.253.539/0001-64;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
635;COOP TRANSPOCRED;08075352;08.075.352/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
636;COOP UNICRED VALE LTDA.;73443863;73.443.863/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
637;COOP ÚNILOS;02405189;02.405.189/0001-28;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
638;COOP UNIPRIME CREDICANA;44373041;44.373.041/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
639;COOP UNIPRIME SUL;01572667;01.572.667/0001-21;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
640;COOP UNIQUE BR LTDA.;73647935;73.647.935/0001-38;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
641;COOP V. ALTO VALE;16779741;16.779.741/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
642;COOP VIACREDI;82639451;82.639.451/0001-38;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
643;COOP. CRED. POUP. INVEST. CONEXÃO;87733770;87.733.770/0001-21;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
644;COOPCENTRAL AILOS;05463212;05.463.212/0001-29;Cooperativa de Crédito;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Não
645;COOPCENTRAL DE ECON. E CRÉDITO SICOOB UNIMAIS RIO LTDA.;14568725;14.568.725/0001-95;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
646;COOPCENTRAL SICOOB NOVA CENTRAL LTDA.;33416108;33.416.108/0001-19;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
647;COOPER CARD IP;05938780;05.938.780/0003-09;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
648;COOPERATIVA DE CRÉDITO COOPERAÇÃO - SICREDI COOPERAÇÃO;87779625;87.779.625/0001-81;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
649;COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA.;71243034;71.243.034/0001-55;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
650;COOPERATIVA DE CRÉDITO LIVRE ADMISSÃO SICOOB OURICRED;02179673;02.179.673/0001-86;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
651;COOPERATIVA DE CRÉDITO SAROM;66402207;66.402.207/0001-09;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
652;COOPSERVIDOR ES;02475222;02.475.222/0001-96;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
653;CORA SCFI;37880206;37.880.206/0001-63;Sociedade de Crédito, Financiamento e Investimento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
654;CORPX BANK IP S.A.;36741675;36.741.675/0001-39;Instituição de Pagamento;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
655;CPC VALE DO RIO DOCE;25606237;25.606.237/0001-41;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
656;CRED.UFES;27302181;27.302.181/0001-67;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
657;CREDCREA;05979692;05.979.692/0001-85;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
658;CREDIALIANÇA CCR;78157146;78.157.146/0001-32;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
659;CREDICOAMO;81723108;81.723.108/0001-04;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
660;CREDIFIT SCD S.A.;39676772;39.676.772/0001-83;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
661;CREDISAN CC;62109566;62.109.566/0001-03;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
662;CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.;04632856;04.632.856/0001-30;Cooperativa de Crédito;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
663;CREDISIS CAPITALCREDI - CCLA DO ACRE LTDA.;05439425;05.439.425/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
664;CREDISIS COOPESA;06975532;06.975.532/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
665;CREDISIS CREDIARI COOP LTDA.;03222753;03.222.753/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
666;CREDISIS OESTE - CCI DO OESTE;04985665;04.985.665/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
667;CREDISIS PRIMACREDI CC;26563270;26.563.270/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
668;CREDISIS SUDOESTE/RO;03985375;03.985.375/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
669;CREDISIS/CREDISUL COOPERATIVA DE CRÉDITO;07494300;07.494.300/0001-13;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
670;CREDJUST - CCM INTEGRANTES DA;04608925;04.608.925/0001-70;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
